CJM Stage,Customer Journey Service Moment,Enabled by Business Capability,Enabled by Process
DISCOVER,01. Get Referred to EDC,"Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer 360
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Insights and Analytics
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Customer Onboarding
Customer Enablement (L1) > Partner Management (L2) > Partner Data Exchange and Reporting
Customer Enablement (L1) > Partner Management (L2) > Partner Referrals (Inbound)
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Prospecting & Segmentation","C4.1 - Manage channel development and segmentation
C5.1 - Manage customer lead and opportunity
D23.2 - Qualify TELP Eligibility
N2.1 - Manage Partner Alliances
R7.2 – Onboard and Respond to Customer Requests
R7.4 - Manage Contact Center"
,02. View EDC Media,"Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Advertising Campaign Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer 360
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Insights and Analytics
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Leads Management
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Prospecting & Segmentation
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","A4.1 – Manage Brand Strategy and Creative Services
A4.2– Govern and Distribute External Communication Content
C3.1 - Execute marketing campaigns
C3.3 - Manage Marketing Products
C4.1 - Manage channel development and segmentation
R2.5 - Deliver Outbound Customer Communications"
,03. Visit EDC.ca,"Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer 360
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Insights and Analytics
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Leads Management
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Prospecting & Segmentation
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","A4.1 – Manage Brand Strategy and Creative Services
A4.2– Govern and Distribute External Communication Content
C1.1 - Research markets, customers, and capabilities
C3.3 - Manage Marketing Products
C3.4 - Govern Marketing Data
C3.5 - Manage interactive digital channel
C4.1 - Manage channel development and segmentation"
,04. Explore & Consume Content,"Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Advertising Campaign Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer 360
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Digital Marketing and Content Distribution
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Leads Management
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Prospecting & Segmentation
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","A4.1 – Manage Brand Strategy and Creative Services
A4.2– Govern and Distribute External Communication Content
C3.1 - Execute marketing campaigns
C3.4 - Govern Marketing Data
C4.1 - Manage channel development and segmentation
R2.5 - Deliver Outbound Customer Communications"
ENGAGE,05. Create an Account & Log In,"Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Account Access and Permissions
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Contact Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Digital Account Lifecycle & Monitoring
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Identity Proofing & Verification
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","C3.5 - Manage interactive digital channel
K1.1 - Manage Company Information
R7.1 - Create Account and Manage Contacts
R7.2 – Onboard and Respond to Customer Requests"
,06. Complete Profile & Manage Account,"Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Account Access and Permissions
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Contact Management
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Customer Data Collection and Reuse
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Customer Onboarding
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Digital Account Lifecycle & Monitoring
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Prospecting & Segmentation
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","C5.1 - Manage customer lead and opportunity
K1.1 - Manage Company Information
R7.1 - Create Account and Manage Contacts"
,07. Submit an Inquiry,"Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Needs Triage and Eligibility
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Inbound Inquiry Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Leads Management
Customer Enablement (L1) > Inbound Experience, Onboarding & Lifecycle Management (L2) > Prospecting & Segmentation
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","C3.4 - Govern Marketing Data
C3.5 - Manage interactive digital channel
C5.1 - Manage customer lead and opportunity
R7.4 - Manage Contact Center"
,08. Connect with EDC Representatives,"Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Needs Triage and Eligibility
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Inbound Inquiry Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Leads Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Sales Pipeline Management & Forecasting","C5.1 - Manage customer lead and opportunity
R7.2 – Onboard and Respond to Customer Requests
R7.4 - Manage Contact Center"
EVALUATE,09. Explore & Consider Solutions,"Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Account Access and Permissions
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Account Strategy & Servicing
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Customer Data Collection and Reuse
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Needs Triage and Eligibility
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Leads Management
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Sales Pipeline Management & Forecasting
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","B1.1 - Govern the Financial Product Innovation Program
B3.1 – Sustain and Iterate Financial Product
C4.2 -Develop Account Management Strategies
C5.1 - Manage customer lead and opportunity
C5.3 - Execute on Account Management Models
F8.1 - Assess Eligibility and Track Performance"
,10. Select Solutions,"Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Account Access and Permissions
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Account Strategy & Servicing
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Customer Data Collection and Reuse
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Interaction Tracking
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Customer Needs Triage and Eligibility
Customer Enablement (L1) > Customer Relationship Management & Support (L2) > Sales Pipeline Management & Forecasting
Customer Enablement (L1) > Web Experience and Digital Account Interactions (L2) > Web Experience & Analytics","B1.1 - Govern the Financial Product Innovation Program
C4.2 -Develop Account Management Strategies
C5.1 - Manage customer lead and opportunity
C5.3 - Execute on Account Management Models
F8.1 - Assess Eligibility and Track Performance"
